iteration,timestamp,avg_fitness,general_MAX_CLUSTER_DISTANCE,general_MAX_CLUSTER_JOIN_DISTANCE,populationSize,generations,newChromosomes,eliminator_type,eliminator_elitism,eliminator_survivalRate,eliminator_p,mutator_comp_p,mutator_child1_numMutations,mutator_child1_p,mutator_child1_weight,mutator_child2_numMutations,mutator_child2_p,mutator_child2_weight,crossover_comp_p,crossover_child1_geoP,crossover_child1_crossoverProb,crossover_child1_weight,crossover_child2_geoP,crossover_child2_crossoverProb,crossover_child2_weight,crossover_child3_p,crossover_child3_weight,crossover_child4_k,crossover_child4_p,crossover_child4_weight,crossover_child5_k,crossover_child5_p,crossover_child5_weight,selection_type,selection_tournamentSize,fast_smal_instance.job_fitness
1,2026-06-14T15:58:57.924792,19.94014453303187,9.761972855462563,5.301826217590949,1000,5000,14,EliteEliminator,10,0.20016887501255987,0.22143679523364967,0.9999965088847295,2,0.6775990178134599,0.9446974381141754,5,0.8937692474329743,0.655733358664945,0.9999961165316049,0.1049464136538022,0.1196030612852034,0.5722971942325503,0.37990268020067897,0.1396658137315731,0.9763799669573134,0.28621707234424343,0.18154579107953872,6,0.40596959301373026,0.9849077972261095,5,0.7879523253890567,0.7122767847290018,TournamentSelection,2,19.94014453303187
2,2026-06-14T15:59:02.162055,16.045044421832387,11.364219312533383,12.139187921219708,200,500,8,EliteEliminator,14,0.32449849600217945,0.8082156749757399,0.9999917336465352,5,0.2457888702304499,0.7798252692858875,11,0.2663533302945511,0.6109302950379925,0.9999903131329246,0.6895993422164991,0.4822910133643009,0.45563521240163307,0.7486612060556561,0.7181811964779579,0.39388669192525194,0.5563551795243197,0.5687508340232414,8,0.7756270789425214,0.7725880991236429,5,0.5694009325310787,0.9687297765377244,RankSelection,3,16.045044421832387
3,2026-06-14T15:59:06.419832,18.602954007329966,4.259008562744906,4.9748049031340456,50,2000,12,EliteEliminator,1,0.13947908183996235,0.7046406598363525,0.9999979017554054,6,0.8410407028106793,0.6859693229517501,19,0.7800308622318396,0.5045056067243832,0.9999909541011649,0.3595727765387865,0.6685150647640662,0.6993301209557471,0.5139084513954091,0.33351352404155454,0.6051190832629312,0.406341499803032,0.9745408858501936,7,0.6773836169318986,0.3123864277740602,4,0.1323468716307451,0.7395966007172088,TournamentSelection,4,18.602954007329966
4,2026-06-14T15:59:54.933874,20.120898480531046,3.2189112256893586,18.12374472212335,500,5000,21,EliteEliminator,12,0.292928491085753,0.27260204102455404,0.9999994285357056,6,0.6558279464317638,0.8924210551137322,14,0.3365069486701713,0.1949448338472436,0.9999945653457049,0.2529083060517836,0.45403345568981135,0.8949522330269817,0.3270415147036918,0.2037747614955724,0.42066805426927745,0.8254627532366035,0.34491902444617184,6,0.10041630159625266,0.4173119707007522,4,0.2317246825143534,0.5806804774378979,TournamentSelection,5,20.120898480531046
5,2026-06-14T15:59:57.129926,15.635571255723276,3.963535671783737,6.394259400459936,50,500,17,EliteEliminator,2,0.16426193627045516,0.3098446534128111,0.9999969630427284,7,0.21846954396271995,0.9979664365440478,9,0.8812919646661225,0.4699333119864083,0.999990330507329,0.34154987361867817,0.6391986429961592,0.7126349063992902,0.47165420832199556,0.480615689887128,0.5976037801641952,0.5741573791035149,0.17276799369944373,4,0.2937279506219408,0.8228257807419065,5,0.8867385127158746,0.45894199820009784,RankSelection,5,15.635571255723276
6,2026-06-14T16:03:34.743169,16.273953323555215,2.6578929836197247,11.147577981332939,1000,8000,10,EliteEliminator,15,0.414275470762872,0.39636608919797,0.9999909617655109,9,0.41805761687001797,0.5659762154747322,18,0.6405520936314246,0.761694507316695,0.9999920907162074,0.4790135816792962,0.6914167394433199,0.30569501961756973,0.22246844896715537,0.9348430918300203,0.5649723021439129,0.30866333986432726,0.9966283297821321,8,0.5466347628856781,0.8943727088704059,3,0.32309708207374555,0.7303220469754943,RankSelection,5,16.273953323555215
7,2026-06-14T16:18:37.291426,20.3004069465225,5.449589398344092,17.97986177769728,5000,8000,24,EliteGeometricEliminator,12,0.21752724495278442,0.8991134260891118,0.9999997366383676,4,0.3442910882755148,0.5370523782276041,12,0.8955659700886568,0.2583327274096109,0.9999901807536362,0.4457256006284044,0.25199930283812955,0.42982190612457394,0.6209193661395938,0.71279893561431,0.3772547126671504,0.5340321844439195,0.5579326691548842,6,0.30036945488446737,0.6308837628044895,8,0.4893937223675642,0.9154889089466988,TournamentSelection,3,20.3004069465225
8,2026-06-14T16:20:06.688345,19.748190920053407,8.096136982336215,14.040633073935796,5000,500,15,EliteGeometricEliminator,16,0.06962169728949519,0.94536793417774,0.99999469944514,4,0.8067952178130073,0.7729468965076727,19,0.364600243736411,0.5974884701519411,0.9999957229246917,0.7862321086012322,0.164044317605209,0.3751273173584637,0.23363772180524228,0.3282036283566333,0.5367518868486842,0.39814949367523955,0.45522232012852515,7,0.8440134678486657,0.16337451776458953,3,0.6369148134592406,0.4227821031665475,TournamentSelection,3,19.748190920053407
9,2026-06-14T16:20:19.026222,17.300233422473664,4.548058406624606,17.276056308644144,50,5000,17,EliteEliminator,9,0.16529312461750617,0.6197866542358285,0.9999908159418041,1,0.602315531958909,0.2748465581608381,6,0.4174270617711108,0.14569167793545726,0.9999988661714895,0.1193317403115933,0.592035161181425,0.4946267107162784,0.5704182947066397,0.37892976735352224,0.23953745505496982,0.885472710648425,0.8550401518624272,7,0.30020108841269133,0.1349512609864809,4,0.5296659417573245,0.39398611761643687,RankSelection,3,17.300233422473664
10,2026-06-14T16:21:33.813832,20.165899284550953,11.61777013429847,10.230772909047115,5000,500,13,EliteGeometricEliminator,4,0.10973544000933644,0.9241063370470353,0.9999971459510418,1,0.4190567211558357,0.490168663822668,16,0.300688421877329,0.2659003068982331,0.9999908087296662,0.39982013245807557,0.6852249156505614,0.15237423595759927,0.7406496093385365,0.47599939527143886,0.315808623241663,0.17509863206503343,0.26457939739657665,8,0.6106164750746804,0.5650266316839101,6,0.448538318942313,0.7570353849056368,TournamentSelection,4,20.165899284550953
